date;state;generation_mwh;Heat_and_power_comm_power;Heat_and_Power_Electric_Power;Electric_Generators_Electric_Utilities;Electric_Generators_Independent_Power_Producers;Total_Electric_Power_Industry;Natural_Gas;Other_Biomass;Petroleum;Solar_Thermal_and_Photovoltaic;Total
05/01/2018;DC;15256.0;4;0;0;0;4;2;2;2;0;2
06/01/2018;DC;26208.0;4;0;0;0;4;2;2;2;0;2
07/01/2018;DC;36416.0;4;0;0;0;4;2;2;2;0;2
08/01/2018;DC;18792.0;4;0;0;0;4;2;2;2;0;2
09/01/2018;DC;24028.0;4;0;0;0;4;2;2;2;0;2
10/01/2018;DC;15184.0;4;0;0;0;4;2;2;2;0;2
11/01/2018;DC;16820.0;4;0;0;0;4;2;2;2;0;2
12/01/2018;DC;32928.0;4;0;0;0;4;2;2;2;0;2
01/01/2019;DC;60535.0;4;0;0;2;5;2;2;2;2;3
02/01/2019;DC;50232.0;4;0;0;2;5;2;2;2;2;3
03/01/2019;DC;60080.0;4;0;0;2;5;2;2;2;2;3
04/01/2019;DC;55684.0;4;0;0;2;5;2;2;2;2;3
05/01/2019;DC;50688.0;4;0;0;2;5;2;2;2;2;3
06/01/2019;DC;62048.0;4;0;0;2;5;2;2;2;2;3
07/01/2019;DC;57236.0;4;0;0;2;5;2;2;2;2;3
08/01/2019;DC;59315.0;4;0;0;2;5;2;2;2;2;3
09/01/2019;DC;58432.0;4;0;0;2;5;2;2;2;2;3
10/01/2019;DC;55100.0;4;0;0;2;5;2;2;2;2;3
11/01/2019;DC;55284.0;4;0;0;2;5;2;2;2;2;3
12/01/2019;DC;71684.0;4;0;0;2;5;2;2;2;2;3
01/01/2020;DC;71328.0;4;0;0;2;5;2;2;2;2;3
02/01/2020;DC;73176.0;4;0;0;2;5;2;2;2;2;3
03/01/2020;DC;61960.0;4;0;0;2;5;2;2;2;2;3
04/01/2020;DC;48120.0;4;0;0;2;5;2;2;2;2;3
05/01/2020;DC;50097.0;4;0;0;2;5;2;2;2;2;3
06/01/2020;DC;64648.0;4;0;0;2;5;2;2;2;2;3
07/01/2020;DC;75630.0;4;0;0;2;5;2;2;2;2;3
08/01/2020;DC;78856.0;4;0;0;2;5;2;2;2;2;3
09/01/2020;DC;73994.0;4;0;0;2;5;2;2;2;2;3
10/01/2020;DC;73872.0;4;0;0;2;5;2;2;2;2;3
11/01/2020;DC;60848.0;4;0;0;2;5;2;2;2;2;3
12/01/2020;DC;71892.0;4;0;0;2;5;2;2;2;2;3
01/01/2021;DC;70176.0;4;0;0;2;5;2;2;2;2;3
02/01/2021;DC;62685.0;4;0;0;2;5;2;2;2;2;3
03/01/2021;DC;70288.0;4;0;0;2;5;2;2;2;2;3
04/01/2021;DC;51944.0;4;0;0;2;5;2;2;2;2;3
05/01/2021;DC;72440.0;4;0;0;2;5;2;2;2;2;3
06/01/2021;DC;80120.0;4;0;0;2;5;2;2;2;2;3
07/01/2021;DC;84712.0;4;0;0;2;5;2;2;2;2;3
08/01/2021;DC;78376.0;4;0;0;2;5;2;2;2;2;3
09/01/2021;DC;76488.0;4;0;0;2;5;2;2;2;2;3
10/01/2021;DC;63456.0;4;0;0;2;5;2;2;2;2;3
11/01/2021;DC;68450.0;4;0;0;2;5;2;2;2;2;3
12/01/2021;DC;65128.0;4;0;0;2;5;2;2;2;2;3
01/01/2022;DC;47839.0;4;0;2;2;5;2;2;2;3;4
02/01/2022;DC;42347.0;4;0;2;2;5;2;2;2;3;4
03/01/2022;DC;64436.0;4;0;2;2;5;2;2;2;3;4
04/01/2022;DC;60711.0;4;0;2;2;5;2;2;2;3;4
05/01/2022;DC;68744.0;4;0;2;2;5;2;2;2;3;4
06/01/2022;DC;55592.0;4;0;2;2;5;2;2;2;3;4
07/01/2022;DC;56437.0;4;0;2;2;5;2;2;2;3;4
08/01/2022;DC;55404.0;4;0;2;2;5;2;2;2;3;4
09/01/2022;DC;50000.0;4;0;2;2;5;2;2;2;3;4
10/01/2022;DC;48633.0;4;0;2;2;5;2;2;2;3;4
11/01/2022;DC;45178.0;4;0;2;2;5;2;2;2;3;4
12/01/2022;DC;45630.0;4;0;2;2;5;2;2;2;3;4
