year,month,state,type_of_producer,energy_source,generation_mwh,date
2005,1,DC,"Electric Generators, Independent Power Producers",Total,2093,2005-01-01
2005,2,DC,Total Electric Power Industry,Petroleum,215,2005-02-01
2005,2,DC,Total Electric Power Industry,Total,215,2005-02-01
2005,2,DC,"Electric Generators, Independent Power Producers",Petroleum,215,2005-02-01
2005,2,DC,"Electric Generators, Independent Power Producers",Total,215,2005-02-01
2005,3,DC,Total Electric Power Industry,Petroleum,-1094,2005-03-01
2005,3,DC,Total Electric Power Industry,Total,-1094,2005-03-01
2005,3,DC,"Electric Generators, Independent Power Producers",Petroleum,-1094,2005-03-01
2005,3,DC,"Electric Generators, Independent Power Producers",Total,-1094,2005-03-01
2005,4,DC,Total Electric Power Industry,Petroleum,-599,2005-04-01
2005,4,DC,Total Electric Power Industry,Total,-599,2005-04-01
2005,4,DC,"Electric Generators, Independent Power Producers",Petroleum,-599,2005-04-01
2005,4,DC,"Electric Generators, Independent Power Producers",Total,-599,2005-04-01
2005,5,DC,Total Electric Power Industry,Petroleum,-610,2005-05-01
2005,5,DC,Total Electric Power Industry,Total,-610,2005-05-01
2005,5,DC,"Electric Generators, Independent Power Producers",Petroleum,-610,2005-05-01
2005,5,DC,"Electric Generators, Independent Power Producers",Total,-610,2005-05-01
2005,6,DC,Total Electric Power Industry,Petroleum,42336,2005-06-01
2005,6,DC,Total Electric Power Industry,Total,42336,2005-06-01
2005,6,DC,"Electric Generators, Independent Power Producers",Petroleum,42336,2005-06-01
2005,6,DC,"Electric Generators, Independent Power Producers",Total,42336,2005-06-01
2005,7,DC,Total Electric Power Industry,Petroleum,90491,2005-07-01
2005,7,DC,Total Electric Power Industry,Total,90491,2005-07-01
2005,7,DC,"Electric Generators, Independent Power Producers",Petroleum,90491,2005-07-01
2005,7,DC,"Electric Generators, Independent Power Producers",Total,90491,2005-07-01
2005,8,DC,Total Electric Power Industry,Petroleum,75277,2005-08-01
2005,8,DC,Total Electric Power Industry,Total,75277,2005-08-01
2005,8,DC,"Electric Generators, Independent Power Producers",Petroleum,75277,2005-08-01
2005,8,DC,"Electric Generators, Independent Power Producers",Total,75277,2005-08-01
2005,9,DC,Total Electric Power Industry,Petroleum,3973,2005-09-01
2005,9,DC,Total Electric Power Industry,Total,3973,2005-09-01
2005,9,DC,"Electric Generators, Independent Power Producers",Petroleum,3973,2005-09-01
2005,9,DC,"Electric Generators, Independent Power Producers",Total,3973,2005-09-01
2005,10,DC,Total Electric Power Industry,Petroleum,9168,2005-10-01
2005,10,DC,Total Electric Power Industry,Total,9168,2005-10-01
2005,10,DC,"Electric Generators, Independent Power Producers",Petroleum,9168,2005-10-01
2005,10,DC,"Electric Generators, Independent Power Producers",Total,9168,2005-10-01
2005,11,DC,Total Electric Power Industry,Petroleum,3,2005-11-01
2005,11,DC,Total Electric Power Industry,Total,3,2005-11-01
2005,11,DC,"Electric Generators, Independent Power Producers",Petroleum,3,2005-11-01
2005,11,DC,"Electric Generators, Independent Power Producers",Total,3,2005-11-01
2005,12,DC,Total Electric Power Industry,Petroleum,4789,2005-12-01
2005,12,DC,Total Electric Power Industry,Total,4789,2005-12-01
2005,12,DC,"Electric Generators, Independent Power Producers",Petroleum,4789,2005-12-01
2005,12,DC,"Electric Generators, Independent Power Producers",Total,4789,2005-12-01
2006,1,DC,Total Electric Power Industry,Petroleum,2352,2006-01-01
2006,1,DC,Total Electric Power Industry,Total,2352,2006-01-01
2006,1,DC,"Electric Generators, Independent Power Producers",Petroleum,2352,2006-01-01
2006,1,DC,"Electric Generators, Independent Power Producers",Total,2352,2006-01-01
2006,2,DC,Total Electric Power Industry,Petroleum,1474,2006-02-01
2006,2,DC,Total Electric Power Industry,Total,1474,2006-02-01
2006,2,DC,"Electric Generators, Independent Power Producers",Petroleum,1474,2006-02-01
2006,2,DC,"Electric Generators, Independent Power Producers",Total,1474,2006-02-01
2006,3,DC,Total Electric Power Industry,Petroleum,-329,2006-03-01
2006,3,DC,Total Electric Power Industry,Total,-329,2006-03-01
2006,3,DC,"Electric Generators, Independent Power Producers",Petroleum,-329,2006-03-01
2006,3,DC,"Electric Generators, Independent Power Producers",Total,-329,2006-03-01
2006,4,DC,Total Electric Power Industry,Petroleum,150,2006-04-01
2006,4,DC,Total Electric Power Industry,Total,150,2006-04-01
2006,4,DC,"Electric Generators, Independent Power Producers",Petroleum,150,2006-04-01
2006,4,DC,"Electric Generators, Independent Power Producers",Total,150,2006-04-01
2006,5,DC,Total Electric Power Industry,Petroleum,1706,2006-05-01
2006,5,DC,Total Electric Power Industry,Total,1706,2006-05-01
2006,5,DC,"Electric Generators, Independent Power Producers",Petroleum,1706,2006-05-01
2006,5,DC,"Electric Generators, Independent Power Producers",Total,1706,2006-05-01
2006,6,DC,Total Electric Power Industry,Petroleum,3743,2006-06-01
2006,6,DC,Total Electric Power Industry,Total,3743,2006-06-01
2006,6,DC,"Electric Generators, Independent Power Producers",Petroleum,3743,2006-06-01
2006,6,DC,"Electric Generators, Independent Power Producers",Total,3743,2006-06-01
2006,7,DC,Total Electric Power Industry,Petroleum,22549,2006-07-01
2006,7,DC,Total Electric Power Industry,Total,22549,2006-07-01
2006,7,DC,"Electric Generators, Independent Power Producers",Petroleum,22549,2006-07-01
2006,7,DC,"Electric Generators, Independent Power Producers",Total,22549,2006-07-01
2006,8,DC,Total Electric Power Industry,Petroleum,47754,2006-08-01
2006,8,DC,Total Electric Power Industry,Total,47754,2006-08-01
2006,8,DC,"Electric Generators, Independent Power Producers",Petroleum,47754,2006-08-01
2006,8,DC,"Electric Generators, Independent Power Producers",Total,47754,2006-08-01
2006,9,DC,Total Electric Power Industry,Petroleum,-516,2006-09-01
2006,9,DC,Total Electric Power Industry,Total,-516,2006-09-01
2006,9,DC,"Electric Generators, Independent Power Producers",Petroleum,-516,2006-09-01
2006,9,DC,"Electric Generators, Independent Power Producers",Total,-516,2006-09-01
2006,10,DC,Total Electric Power Industry,Petroleum,553,2006-10-01
2006,10,DC,Total Electric Power Industry,Total,553,2006-10-01
2006,10,DC,"Electric Generators, Independent Power Producers",Petroleum,553,2006-10-01
2006,10,DC,"Electric Generators, Independent Power Producers",Total,553,2006-10-01
2006,11,DC,Total Electric Power Industry,Petroleum,-659,2006-11-01
2006,11,DC,Total Electric Power Industry,Total,-659,2006-11-01
2006,11,DC,"Electric Generators, Independent Power Producers",Petroleum,-659,2006-11-01
2006,11,DC,"Electric Generators, Independent Power Producers",Total,-659,2006-11-01
2006,12,DC,Total Electric Power Industry,Petroleum,2690,2006-12-01
2006,12,DC,Total Electric Power Industry,Total,2690,2006-12-01
2006,12,DC,"Electric Generators, Independent Power Producers",Petroleum,2690,2006-12-01
2006,12,DC,"Electric Generators, Independent Power Producers",Total,2690,2006-12-01
2007,1,DC,Total Electric Power Industry,Petroleum,-518,2007-01-01
2007,1,DC,Total Electric Power Industry,Total,-518,2007-01-01
2007,1,DC,"Electric Generators, Independent Power Producers",Petroleum,-518,2007-01-01
2007,1,DC,"Electric Generators, Independent Power Producers",Total,-518,2007-01-01
2007,2,DC,Total Electric Power Industry,Petroleum,2682,2007-02-01
2007,2,DC,Total Electric Power Industry,Total,2682,2007-02-01
2007,2,DC,"Electric Generators, Independent Power Producers",Petroleum,2682,2007-02-01
2007,2,DC,"Electric Generators, Independent Power Producers",Total,2682,2007-02-01
2007,3,DC,Total Electric Power Industry,Petroleum,-239,2007-03-01
2007,3,DC,Total Electric Power Industry,Total,-239,2007-03-01
2007,3,DC,"Electric Generators, Independent Power Producers",Petroleum,-239,2007-03-01
2007,3,DC,"Electric Generators, Independent Power Producers",Total,-239,2007-03-01
2007,4,DC,Total Electric Power Industry,Petroleum,-316,2007-04-01
2007,4,DC,Total Electric Power Industry,Total,-316,2007-04-01
2007,4,DC,"Electric Generators, Independent Power Producers",Petroleum,-316,2007-04-01
2007,4,DC,"Electric Generators, Independent Power Producers",Total,-316,2007-04-01
2007,5,DC,Total Electric Power Industry,Petroleum,-318,2007-05-01
2007,5,DC,Total Electric Power Industry,Total,-318,2007-05-01
2007,5,DC,"Electric Generators, Independent Power Producers",Petroleum,-318,2007-05-01
2007,5,DC,"Electric Generators, Independent Power Producers",Total,-318,2007-05-01
2007,6,DC,Total Electric Power Industry,Petroleum,14143,2007-06-01
2007,6,DC,Total Electric Power Industry,Total,14143,2007-06-01
2007,6,DC,"Electric Generators, Independent Power Producers",Petroleum,14143,2007-06-01
2007,6,DC,"Electric Generators, Independent Power Producers",Total,14143,2007-06-01
