date;state;energy_source;generation_mwh;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total
2017-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;23708.0;4;0;0;0;4;2;2;2;0;2
2017-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;22664.0;4;0;0;0;4;2;2;2;0;2
2017-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;10460.0;4;0;0;0;4;2;2;2;0;2
2017-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;20788.0;4;0;0;0;4;2;2;2;0;2
2017-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;18768.0;4;0;0;0;4;2;2;2;0;2
2017-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;17140.0;4;0;0;0;4;2;2;2;0;2
2017-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;23608.0;4;0;0;0;4;2;2;2;0;2
2018-01-01;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;27748.0;4;0;0;0;4;2;2;2;0;2
2018-01-02;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;30372.0;4;0;0;0;4;2;2;2;0;2
2018-01-03;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;35376.0;4;0;0;0;4;2;2;2;0;2
2018-01-04;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;38196.0;4;0;0;0;4;2;2;2;0;2
2018-01-05;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;15256.0;4;0;0;0;4;2;2;2;0;2
2018-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;26208.0;4;0;0;0;4;2;2;2;0;2
2018-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;36416.0;4;0;0;0;4;2;2;2;0;2
2018-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;18792.0;4;0;0;0;4;2;2;2;0;2
2018-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;24028.0;4;0;0;0;4;2;2;2;0;2
2018-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;15184.0;4;0;0;0;4;2;2;2;0;2
2018-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;16820.0;4;0;0;0;4;2;2;2;0;2
2018-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;32928.0;4;0;0;0;4;2;2;2;0;2
2019-01-01;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;60535.0;4;0;0;2;5;2;2;2;2;3
