year;month;state;type_of_producer;energy_source;generation_mwh;date
2005;1;DC;Total Electric Power Industry;Total;2093;01/01/2005
2005;1;DC;Electric Generators, Independent Power Producers;Petroleum;2093;01/01/2005
2005;1;DC;Electric Generators, Independent Power Producers;Total;2093;01/01/2005
2005;2;DC;Total Electric Power Industry;Petroleum;215;01/02/2005
2005;2;DC;Total Electric Power Industry;Total;215;01/02/2005
2005;2;DC;Electric Generators, Independent Power Producers;Petroleum;215;01/02/2005
2005;2;DC;Electric Generators, Independent Power Producers;Total;215;01/02/2005
2005;3;DC;Total Electric Power Industry;Petroleum;-1094;01/03/2005
2005;3;DC;Total Electric Power Industry;Total;-1094;01/03/2005
2005;3;DC;Electric Generators, Independent Power Producers;Petroleum;-1094;01/03/2005
2005;3;DC;Electric Generators, Independent Power Producers;Total;-1094;01/03/2005
2005;4;DC;Total Electric Power Industry;Petroleum;-599;01/04/2005
2005;4;DC;Total Electric Power Industry;Total;-599;01/04/2005
2005;4;DC;Electric Generators, Independent Power Producers;Petroleum;-599;01/04/2005
2005;4;DC;Electric Generators, Independent Power Producers;Total;-599;01/04/2005
2005;5;DC;Total Electric Power Industry;Petroleum;-610;01/05/2005
2005;5;DC;Total Electric Power Industry;Total;-610;01/05/2005
2005;5;DC;Electric Generators, Independent Power Producers;Petroleum;-610;01/05/2005
2005;5;DC;Electric Generators, Independent Power Producers;Total;-610;01/05/2005
2005;6;DC;Total Electric Power Industry;Petroleum;42336;01/06/2005
2005;6;DC;Total Electric Power Industry;Total;42336;01/06/2005
2005;6;DC;Electric Generators, Independent Power Producers;Petroleum;42336;01/06/2005
2005;6;DC;Electric Generators, Independent Power Producers;Total;42336;01/06/2005
2005;7;DC;Total Electric Power Industry;Petroleum;90491;01/07/2005
2005;7;DC;Total Electric Power Industry;Total;90491;01/07/2005
2005;7;DC;Electric Generators, Independent Power Producers;Petroleum;90491;01/07/2005
2005;7;DC;Electric Generators, Independent Power Producers;Total;90491;01/07/2005
2005;8;DC;Total Electric Power Industry;Petroleum;75277;01/08/2005
2005;8;DC;Total Electric Power Industry;Total;75277;01/08/2005
2005;8;DC;Electric Generators, Independent Power Producers;Petroleum;75277;01/08/2005
2005;8;DC;Electric Generators, Independent Power Producers;Total;75277;01/08/2005
2005;9;DC;Total Electric Power Industry;Petroleum;3973;01/09/2005
2005;9;DC;Total Electric Power Industry;Total;3973;01/09/2005
2005;9;DC;Electric Generators, Independent Power Producers;Petroleum;3973;01/09/2005
2005;9;DC;Electric Generators, Independent Power Producers;Total;3973;01/09/2005
2005;10;DC;Total Electric Power Industry;Petroleum;9168;01/10/2005
2005;10;DC;Total Electric Power Industry;Total;9168;01/10/2005
2005;10;DC;Electric Generators, Independent Power Producers;Petroleum;9168;01/10/2005
2005;10;DC;Electric Generators, Independent Power Producers;Total;9168;01/10/2005
2005;11;DC;Total Electric Power Industry;Petroleum;3;01/11/2005
2005;11;DC;Total Electric Power Industry;Total;3;01/11/2005
2005;11;DC;Electric Generators, Independent Power Producers;Petroleum;3;01/11/2005
2005;11;DC;Electric Generators, Independent Power Producers;Total;3;01/11/2005
2005;12;DC;Total Electric Power Industry;Petroleum;4789;01/12/2005
2005;12;DC;Total Electric Power Industry;Total;4789;01/12/2005
2005;12;DC;Electric Generators, Independent Power Producers;Petroleum;4789;01/12/2005
2005;12;DC;Electric Generators, Independent Power Producers;Total;4789;01/12/2005
2006;1;DC;Total Electric Power Industry;Petroleum;2352;01/01/2006
2006;1;DC;Total Electric Power Industry;Total;2352;01/01/2006
2006;1;DC;Electric Generators, Independent Power Producers;Petroleum;2352;01/01/2006
2006;1;DC;Electric Generators, Independent Power Producers;Total;2352;01/01/2006
2006;2;DC;Total Electric Power Industry;Petroleum;1474;01/02/2006
2006;2;DC;Total Electric Power Industry;Total;1474;01/02/2006
2006;2;DC;Electric Generators, Independent Power Producers;Petroleum;1474;01/02/2006
2006;2;DC;Electric Generators, Independent Power Producers;Total;1474;01/02/2006
2006;3;DC;Total Electric Power Industry;Petroleum;-329;01/03/2006
2006;3;DC;Total Electric Power Industry;Total;-329;01/03/2006
2006;3;DC;Electric Generators, Independent Power Producers;Petroleum;-329;01/03/2006
2006;3;DC;Electric Generators, Independent Power Producers;Total;-329;01/03/2006
2006;4;DC;Total Electric Power Industry;Petroleum;150;01/04/2006
2006;4;DC;Total Electric Power Industry;Total;150;01/04/2006
2006;4;DC;Electric Generators, Independent Power Producers;Petroleum;150;01/04/2006
2006;4;DC;Electric Generators, Independent Power Producers;Total;150;01/04/2006
2006;5;DC;Total Electric Power Industry;Petroleum;1706;01/05/2006
